record_id,parking_lot_id,zone,slot_id,entry_time,exit_time,day_of_week,is_weekend,vehicle_type
1,PL01,C,C29,2024-04-15 12:25:00,2024-04-15 14:28:00,Monday,0,Car
2,PL02,D,D24,2024-08-05 15:06:00,2024-08-05 16:20:00,Monday,0,Bike
3,PL04,D,D4,2024-01-28 14:42:00,2024-01-28 16:26:00,Sunday,1,Car
4,PL01,B,B48,2024-08-31 12:16:00,2024-08-31 14:12:00,Saturday,1,Bike
5,PL01,A,A28,2024-07-06 17:33:00,2024-07-06 20:12:00,Saturday,1,Car
6,PL04,C,C39,2024-10-15 20:59:00,2024-10-15 23:09:00,Tuesday,0,SUV
7,PL03,A,A24,2024-06-29 15:21:00,2024-06-29 17:01:00,Saturday,1,Car
8,PL01,D,D40,2024-09-11 19:17:00,2024-09-11 20:02:00,Wednesday,0,Car
9,PL04,A,A26,2024-12-10 16:41:00,2024-12-10 19:08:00,Tuesday,0,Bike
10,PL03,C,C18,2024-02-04 11:25:00,2024-02-04 13:43:00,Sunday,1,SUV
11,PL03,D,D23,2024-10-04 22:55:00,2024-10-04 23:38:00,Friday,0,Car
12,PL04,A,A49,2024-04-12 06:50:00,2024-04-12 09:25:00,Friday,0,SUV
13,PL01,C,C16,2024-06-20 07:52:00,2024-06-20 09:53:00,Thursday,0,Car
14,PL01,B,B6,2024-01-27 16:41:00,2024-01-27 18:04:00,Saturday,1,EV
15,PL01,C,C34,2024-07-10 17:00:00,2024-07-10 18:45:00,Wednesday,0,EV
16,PL01,C,C7,2024-07-22 07:37:00,2024-07-22 08:31:00,Monday,0,SUV
17,PL03,D,D33,2024-10-27 07:56:00,2024-10-27 11:08:00,Sunday,1,EV
18,PL03,C,C14,2024-10-28 13:53:00,2024-10-28 16:59:00,Monday,0,EV
19,PL04,B,B22,2024-06-30 13:30:00,2024-06-30 17:03:00,Sunday,1,SUV
20,PL01,A,A9,2024-10-03 10:19:00,2024-10-03 12:03:00,Thursday,0,SUV
21,PL04,C,C19,2024-07-31 14:14:00,2024-07-31 14:48:00,Wednesday,0,EV
22,PL01,D,D30,2024-11-04 19:48:00,2024-11-04 23:18:00,Monday,0,EV
23,PL04,A,A9,2024-10-31 13:37:00,2024-10-31 15:38:00,Thursday,0,Bike
24,PL02,A,A12,2024-08-15 09:23:00,2024-08-15 12:23:00,Thursday,0,Bike
25,PL01,C,C49,2024-10-06 22:13:00,2024-10-06 23:11:00,Sunday,1,EV
26,PL01,B,B50,2024-12-27 18:16:00,2024-12-27 19:48:00,Friday,0,SUV
27,PL04,D,D22,2024-02-29 12:30:00,2024-02-29 13:26:00,Thursday,0,SUV
28,PL02,A,A6,2024-12-20 17:01:00,2024-12-20 17:47:00,Friday,0,Bike
29,PL04,C,C50,2024-05-21 19:57:00,2024-05-21 23:13:00,Tuesday,0,SUV
30,PL04,D,D13,2024-11-07 13:52:00,2024-11-07 17:42:00,Thursday,0,Bike
31,PL03,B,B15,2024-09-10 09:59:00,2024-09-10 11:41:00,Tuesday,0,EV
32,PL04,C,C11,2024-12-26 14:32:00,2024-12-26 16:44:00,Thursday,0,Car
33,PL01,D,D50,2024-07-10 20:54:00,2024-07-10 23:32:00,Wednesday,0,EV
34,PL03,C,C9,2024-12-06 18:51:00,2024-12-06 20:38:00,Friday,0,EV
35,PL04,B,B48,2024-02-06 06:28:00,2024-02-06 08:35:00,Tuesday,0,Bike
36,PL03,D,D45,2024-11-16 11:30:00,2024-11-16 13:12:00,Saturday,1,SUV
37,PL02,C,C27,2024-12-31 09:55:00,2024-12-31 13:45:00,Tuesday,0,EV
38,PL04,D,D45,2024-11-25 10:17:00,2024-11-25 10:58:00,Monday,0,EV
39,PL02,D,D29,2024-10-12 18:27:00,2024-10-12 21:28:00,Saturday,1,Car
40,PL03,C,C1,2024-03-01 21:16:00,2024-03-02 01:01:00,Friday,0,EV
41,PL04,A,A14,2024-09-20 22:49:00,2024-09-21 02:17:00,Friday,0,Bike
42,PL03,D,D33,2024-07-05 15:46:00,2024-07-05 18:49:00,Friday,0,Car
43,PL03,C,C15,2024-09-27 15:56:00,2024-09-27 16:50:00,Friday,0,SUV
44,PL01,A,A8,2024-03-30 19:01:00,2024-03-30 22:22:00,Saturday,1,Car
45,PL01,A,A45,2024-11-14 12:45:00,2024-11-14 14:21:00,Thursday,0,SUV
46,PL03,C,C7,2024-01-18 17:51:00,2024-01-18 18:43:00,Thursday,0,Bike
47,PL03,B,B44,2024-11-24 17:49:00,2024-11-24 21:03:00,Sunday,1,EV
48,PL04,D,D17,2024-05-12 21:58:00,2024-05-12 22:49:00,Sunday,1,EV
49,PL03,B,B36,2024-01-20 13:44:00,2024-01-20 15:16:00,Saturday,1,Bike
50,PL01,D,D49,2024-03-07 15:35:00,2024-03-07 17:25:00,Thursday,0,EV
51,PL02,B,B45,2024-10-03 19:54:00,2024-10-03 21:28:00,Thursday,0,Car
52,PL01,D,D44,2024-12-10 22:40:00,2024-12-11 02:05:00,Tuesday,0,EV
53,PL02,C,C11,2024-11-13 08:25:00,2024-11-13 10:04:00,Wednesday,0,SUV
54,PL04,D,D13,2024-03-19 16:44:00,2024-03-19 17:24:00,Tuesday,0,Bike
55,PL04,D,D21,2024-08-21 12:37:00,2024-08-21 16:33:00,Wednesday,0,Bike
56,PL02,D,D6,2024-02-29 22:17:00,2024-02-29 23:05:00,Thursday,0,SUV
57,PL02,B,B40,2024-05-21 12:03:00,2024-05-21 15:06:00,Tuesday,0,EV
58,PL03,D,D16,2024-01-27 19:53:00,2024-01-27 23:46:00,Saturday,1,Car
59,PL04,D,D46,2024-01-22 20:03:00,2024-01-22 23:35:00,Monday,0,Bike
60,PL03,A,A35,2024-12-09 22:41:00,2024-12-10 01:03:00,Monday,0,EV
61,PL01,D,D35,2024-02-10 16:37:00,2024-02-10 19:30:00,Saturday,1,SUV
62,PL03,A,A13,2024-03-04 16:16:00,2024-03-04 18:59:00,Monday,0,SUV
63,PL04,C,C18,2024-11-20 22:48:00,2024-11-21 00:21:00,Wednesday,0,SUV
64,PL01,A,A30,2024-05-06 08:19:00,2024-05-06 09:28:00,Monday,0,Car
65,PL04,B,B46,2024-10-03 08:48:00,2024-10-03 11:56:00,Thursday,0,Bike
66,PL01,A,A15,2024-11-10 07:13:00,2024-11-10 10:39:00,Sunday,1,Bike
67,PL01,A,A49,2024-06-27 21:59:00,2024-06-27 22:37:00,Thursday,0,EV
68,PL03,C,C27,2024-02-06 19:53:00,2024-02-06 23:01:00,Tuesday,0,SUV
69,PL03,D,D46,2024-06-11 13:31:00,2024-06-11 15:15:00,Tuesday,0,Bike
70,PL04,A,A7,2024-10-27 22:13:00,2024-10-28 00:40:00,Sunday,1,SUV
71,PL03,A,A7,2024-02-23 10:33:00,2024-02-23 13:36:00,Friday,0,SUV
72,PL02,C,C10,2024-04-20 12:32:00,2024-04-20 13:26:00,Saturday,1,EV
73,PL01,A,A48,2024-02-17 06:07:00,2024-02-17 08:38:00,Saturday,1,Car
74,PL04,A,A39,2024-01-14 06:45:00,2024-01-14 08:09:00,Sunday,1,Car
75,PL01,B,B7,2024-12-06 16:38:00,2024-12-06 17:16:00,Friday,0,EV
76,PL01,C,C8,2024-12-26 16:05:00,2024-12-26 17:28:00,Thursday,0,Bike
77,PL03,D,D49,2024-10-05 09:08:00,2024-10-05 10:20:00,Saturday,1,SUV
78,PL03,A,A33,2024-07-21 22:13:00,2024-07-22 01:31:00,Sunday,1,EV
79,PL01,B,B19,2024-02-01 21:56:00,2024-02-01 22:45:00,Thursday,0,Bike
